"后台配置的语言包","后台配置的语言包"
"Oceanpayment InstantTransfer Payment","Oceanpayment InstantTransfer Payment"
"Enabled","Enabled"
"Title","Title"
"Account","Account"
"Terminal","Terminal"
"SecureCode","SecureCode"
"Transport URL","Transport URL"
"New order status","New order status"
"Order status when payment success by InstantTransfer","Order status when payment success by InstantTransfer"
"Order status when payment failure by InstantTransfer","Order status when payment failure by InstantTransfer"
"Order status when payment Pending by InstantTransfer","Order status when payment Pending by InstantTransfer"
"Send Order Email","Send Order Email"
"Payment from applicable countries","Payment from applicable countries"
"Payment from Specific countries","Payment from Specific countries"
"Sort order","Sort order"


"失败页面的语言包","失败页面的语言包"
"Oops! We're sorry","Oops! We're sorry"
"Error Messages: ","Error Messages: "
"Your Order No. is ","Your Order No. is "
"Please <a href='%s'>continue shopping</a>.","Please <a href='%s'>continue shopping</a>."


"成功页面的语言包","成功页面的语言包"
"Your payment is succeed!Your order has been received","Your payment is succeed!Your order has been received"


"待处理页面的语言包","待处理页面的语言包"
"Pending...","Pending..."
"Notice Messages: ","Notice Messages: "